iter	Passed	Remaining
529	29375	26050
530	29428	25992
531	29483	25937
532	29538	25880
533	29592	25824
534	29648	25769
535	29704	25714
536	29752	25652
537	29807	25597
538	29862	25541
539	29916	25484
540	29973	25430
541	30027	25374
542	30083	25319
543	30140	25264
544	30196	25210
545	30253	25155
546	30298	25092
547	30355	25037
548	30410	24982
549	30466	24926
550	30521	24871
551	30568	24809
552	30623	24753
553	30674	24694
554	30728	24638
555	30784	24583
556	30832	24521
557	30886	24465
558	30943	24411
559	30989	24349
560	31037	24287
561	31095	24234
562	31149	24178
563	31207	24124
564	31260	24067
565	31311	24009
566	31363	23951
567	31416	23894
568	31472	23839
569	31525	23782
570	31581	23727
571	31637	23672
572	31685	23611
573	31740	23556
574	31797	23502
575	31851	23445
576	31904	23388
577	31961	23334
578	32018	23280
579	32073	23225
580	32122	23165
581	32179	23111
582	32237	23058
583	32293	23003
584	32347	22947
585	32401	22891
586	32456	22835
587	32511	22780
588	32567	22725
589	32622	22669
590	32669	22608
591	32723	22552
592	32777	22496
593	32831	22440
594	32877	22378
595	32933	22324
596	32983	22265
597	33041	22211
598	33101	22159
599	33158	22105
600	33213	22050
601	33274	21998
602	33322	21938
603	33378	21884
604	33434	21828
605	33491	21775
606	33539	21714
607	33595	21660
608	33649	21604
609	33704	21549
610	33760	21493
611	33811	21435
612	33861	21377
613	33915	21321
614	33970	21266
615	34022	21209
616	34080	21155
617	34145	21105
618	34202	21051
619	34258	20996
620	34315	20942
621	34372	20888
622	34419	20828
623	34471	20771
624	34519	20711
625	34575	20656
626	34630	20601
627	34687	20547
628	34741	20491
629	34793	20434
630	34844	20376
631	34898	20320
632	34952	20264
633	35003	20207
634	35057	20151
635	35115	20097
636	35168	20041
637	35218	19982
638	35272	19927
639	35320	19867
640	35376	19813
641	35429	19756
642	35483	19700
643	35537	19645
644	35584	19585
645	35640	19530
646	35694	19474
647	35751	19420
648	35798	19361
649	35854	19306
650	35910	19251
651	35964	19195
652	36019	19140
653	36075	19085
654	36133	19032
655	36185	18975
656	36234	18916
657	36287	18860
658	36341	18805
659	36397	18750
660	36453	18695
661	36505	18638
662	36561	18584
663	36615	18528
664	36672	18474
665	36730	18420
666	36786	18365
667	36841	18310
668	36899	18256
669	36957	18202
670	37012	18147
671	37070	18093
672	37126	18039
673	37184	17985
674	37231	17926
675	37285	17870
676	37338	17814
677	37391	17758
678	37446	17703
679	37501	17647
680	37554	17591
681	37605	17534
682	37663	17480
683	37720	17426
684	37776	17371
685	37827	17314
686	37881	17258
687	37934	17202
688	37990	17148
689	38045	17093
690	38101	17038
691	38156	16982
692	38216	16929
693	38272	16875
694	38328	16820
695	38384	16765
696	38438	16709
697	38493	16654
698	38548	16599
699	38596	16541
700	38649	16485
701	38703	16429
702	38759	16375
703	38812	16318
704	38868	16264
705	38928	16211
706	38984	16156
707	39032	16098
708	39089	16043
709	39146	15989
710	39202	15934
711	39256	15879
712	39312	15824
713	39368	15769
714	39423	15714
715	39478	15658
716	39534	15604
717	39587	15548
718	39644	15493
719	39699	15438
720	39756	15384
721	39812	15329
722	39867	15274
723	39924	15219
724	39979	15164
725	40034	15109
726	40090	15054
727	40148	15000
728	40205	14946
729	40260	14890
730	40316	14835
731	40370	14780
732	40425	14725
733	40477	14668
734	40528	14612
735	40577	14554
736	40628	14498
737	40681	14442
738	40736	14387
739	40790	14331
740	40841	14275
741	40894	14219
742	40950	14164
743	41002	14108
744	41059	14054
745	41117	13999
746	41175	13945
747	41227	13889
748	41278	13832
749	41331	13777
750	41383	13721
751	41441	13666
752	41494	13611
753	41550	13556
754	41605	13500
755	41659	13445
756	41715	13390
757	41770	13335
758	41825	13280
759	41879	13225
760	41934	13169
761	41986	13113
762	42035	13057
763	42082	12999
764	42141	12945
765	42193	12889
766	42243	12832
767	42298	12777
768	42351	12721
769	42406	12666
770	42462	12612
771	42518	12557
772	42572	12502
773	42628	12447
774	42683	12391
775	42736	12336
776	42791	12281
777	42846	12226
778	42894	12169
779	42947	12113
780	43001	12057
781	43046	12000
782	43106	11946
783	43162	11891
784	43218	11836
785	43274	11782
786	43329	11727
787	43385	11672
788	43440	11617
789	43494	11561
790	43542	11504
791	43595	11449
792	43651	11394
793	43707	11339
794	43763	11284
795	43809	11227
796	43865	11172
797	43924	11118
798	43982	11064
799	44038	11009
800	44095	10954
801	44162	10902
802	44235	10852
803	44291	10797
804	44350	10743
805	44407	10688
806	44463	10633
807	44513	10577
808	44569	10522
809	44625	10467
810	44681	10412
811	44736	10357
812	44784	10300
813	44838	10245
814	44886	10188
815	44941	10133
816	44995	10078
817	45044	10022
818	45102	9967
819	45156	9912
820	45211	9857
821	45265	9802
822	45321	9747
823	45365	9689
824	45419	9634
825	45473	9579
826	45528	9524
827	45580	9468
828	45628	9411
829	45676	9355
830	45733	9300
831	45785	9245
832	45831	9188
833	45885	9133
834	45941	9078
835	45996	9023
836	46052	8968
837	46111	8914
838	46168	8859
839	46229	8805
840	46284	8750
841	46338	8695
842	46394	8640
843	46443	8584
844	46499	8529
845	46555	8474
846	46609	8419
847	46663	8364
848	46718	8309
849	46772	8253
850	46827	8199
851	46882	8143
852	46939	8089
853	46995	8034
854	47051	7979
855	47109	7924
856	47166	7870
857	47220	7815
858	47276	7760
859	47331	7705
860	47387	7650
861	47437	7594
